Disease,Diet,Description,,,,,
Common Cold,"Common Cold: Diet should include immune-boosting foods, Warm fluids, Honey and lemon tea. Stay hydrated and rest.",Common Cold is a viral infection of the upper respiratory tract.,,,,,
Dengue,"Papaya leaves, Mix of herbs, Pomegranates, Turmeric,  Fruits and Vegetables, Whole grains, Lean proteins, Healthy fats. You should also drink plenty of fluids.High-Calorie Diet,Soft and bland foods, Protein-rich foods",Dengue is a mosquito-borne viral infection causing flu-like symptoms.,,,,,
Diabetes ,"Diet should focus on controlling blood sugar levels. Include whole grains, fruits, vegetables, lean proteins, and limit sugar and refined carbohydrates.Low-Glycemic Diet, Fiber-rich foods, Lean proteins, Healthy fats, ",Diabetes is a chronic condition that affects how the body processes blood sugar.,,,,,
Dimorphic hemmorhoids(piles),"A high-fiber diet can help treat and prevent hemorrhoids like :Prunes,Apples,Lentils,Citrus fruits.Foods to better avoid are:Processed meats,Fried foods,Packaged foods.  ",Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,,,,,
Drug Reaction,"Antihistamine Diet, Omega-3-rich foods, Vitamin C-rich foods, Quercetin-rich foods, Probiotics.",Drug Reaction occurs when the body reacts adversely to a medication.,,,,,
Fungal infection,Apple Cider Vinegar. The acid and enzymes in apple cider vinegar have been shown to help to kill and get rid of excess yeast in the body.Green Veggies and Green Drinks. Coconut Oil. ...Stevia. ... Garlic. ... Ground Flaxseeds and Chia Seeds. ...Unsweetened Cranberry Juice. ...Kefir.,Fungal infection is a common skin condition caused by fungi.,,,,,
Gastroenteritis," slowly begin to eat bland, easy-to-digest foods ,toast, gelatin, bananas, applesauce, rice and chicken.  Avoid milk and dairy products, caffeine, alcohol, nicotine, and fatty or highly seasoned foods for a few days","Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",,,,,
GERD,"GERD (Gastroesophageal Reflux Disease): Diet should include low-acid foods, avoid spicy and acidic foods and eat smaller meals. Avoid alcohol and caffeine.",GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,,,,,
Heart attack,"Diet should focus on heart health :include fruits, vegetables, whole grains, lean proteins, and healthy fats like omega-3 fatty acids. Limit saturated fats and sodium.","A heart attack, also called a myocardial infarction, happens when a part of the heart muscle doesn't get enough blood. It  is a sudden and severe reduction in blood flow to the heart muscle.",,,,,Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
hepatitis A," Diet should focus on promoting liver health and include low-fat, high-fiber foods. Avoid alcohol and limit sodium intake.",Hepatitis A is a contagious liver infection caused by the hepatitis A virus (HAV). It's a type of hepatitis virus that causes inflammation of the liver and affects its function.,,,,,
Hepatitis B,"Diet should focus on promoting liver health and include low-fat, high-fiber foods. Soft and bland foods.", Hepatitis B is a viral infection that attacks the liver.,,,,,
Hepatitis C," Diet should focus on promoting liver health and include low-fat, high-fiber foods and Protein-rich foods",Hepatitis C is a viral infection that causes liver inflammation.,,,,,
Hepatitis D,"Diet should focus on promoting liver health and include low-fat, high-fiber foods. Avoid alcohol and limit sodium intake.",Hepatitis D is a viral infection that causes liver inflammation and damage. Inflammation is swelling that occurs when tissues of the body become injured or infected. Inflammation can damage organs.,,,,,
Hepatitis E,"Diet should focus on promoting liver health and include low-fat, high-fiber foods. Avoid alcohol and limit sodium intake.", Hepatitis E is a viral infection that causes liver inflammation.,,,,,
Hypertension ,"Diet should focus on reducing sodium intake and include potassium-rich foods like fruits and vegetables. Also, emphasize whole grains, lean proteins, and healthy fats and Low-sodium foods.","Hypertension, or high blood pressure, is a common cardiovascular condition.",,,,,
Hyperthyroidism,Hyperthyroidism: Diet should focus on limiting iodine intake and avoiding stimulants like caffeine. Include calcium-rich foods and foods that support bone health.Selenium-rich foods.,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,,,,,
Hypoglycemia,"A diet for hypoglycemia can include Small and frequent meals, Lean protein, Complex carbohydrates, Foods high in soluble fiber, Healthy fats, A small amount of fast-acting carbohydrates.",Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,,,,,
Hypothyroidism,"Diet should include iodine-rich foods like seafood, as well as selenium-rich foods like Brazil nuts. Limit goitrogenic foods like cabbage and soy.", Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,,,,,
Impetigo," Diet should focus on supporting the immune system with nutrient-dense foods like fruits, vegetables, and lean proteins.",Impetigo is a highly contagious skin infection causing red sores that can break open.,,,,,
Jaundice,"Diet should focus on liver health and include easily digestible foods like fruits, vegetables, and lean proteins. Avoid fatty and fried foods.","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problem",,,,,
Malaria,"Fresh fruits and vegetables work wonders. vitamin A and vitamin C rich fruits and vegetables like beetroot, carrot, papaya, help to detoxify and boosts the immunity  system ,Oral rehydration solutions.",An infection caused by a plasmodium parasite transmitted by the bite of infected mosquitoes.,,,,,
Migraine," Diet should avoid known trigger foods like aged cheeses, chocolate, and processed meats. Stay hydrated and eat regular meals and Low-Tyramine Diet.",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,,,,,
Osteoarthristis,"Diet should focus on anti-inflammatory foods like fruits, vegetables, omega-3 fatty acids, and lean proteins. Maintain a healthy weight.",Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,,,,,
Paralysis (brain hemorrhage),"Consume Plenty of vegetables Such as legumes and beans. Grain (cereal) foods, mostly wholegrain and high fibre varieties such as cereals Lean meats and poultry, fish, eggs.",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,,,,,
Peptic ulcer ,"Low-Acid Diet, Fiber-rich foods, Ginger, Fruits and Mostly avoid baked goods like Pastries ,which are often high in hydrogenated fat.",Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,,,,,
Pneumonia,"Diet should include nutrient-dense foods and Protein -rich foods  to support recovery. Stay hydrated and eat small, frequent meals.",Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus (purulent material).,,,,,
Psoriasis," Diet should include anti-inflammatory foods like fruits, vegetables, and omega-3 fatty acids. Limit alcohol and processed foods.","Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.",,,,,
Tuberculosis,"Diet should include nutrient-dense foods to boost the immune system. Include protein-rich foods and foods rich in vitamins A, C, and E.Whole grains,Nuts and seeds.",Tuberculosis is a bacterial infection that primarily affects the lungs.,,,,,
Typhoid," Maintain a balanced and High -calorie Diet. food items such as bananas, Watermelons,boiled rice,eggs ,lentils.include fluids such as Barley water, Fresh fruit juice,Vegetable soup.",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.,,,,,
Urinary tract infection,Diet should focus on staying hydrated and include foods that promote urinary health like cranberries and probiotics.Include high-fiber foods.,Urinary tract infection is an infection in any part of the urinary system.,,,,,
Varicose veins,"Dark leafy green veggies, Vitamin C-rich foods, Vitamin E-rich foods,Potassium-rich foods,Foods high in omega-3 rich foods and consume avocados,raspberries","Varicose veins are enlarged, twisted veins that usually appear on the legs.",,,,,
